GEO.display-label,HC01_VC56
Geography,Estimate; RACE - One race - Asian
"Bedford County, Virginia",917
"Chesterfield County, Virginia",13052
"Fairfax County, Virginia",217179
"Fauquier County, Virginia",1296
"Frederick County, Virginia",1173
"Hanover County, Virginia",1023
"Henrico County, Virginia",27058
"James City County, Virginia",1654
"Loudoun County, Virginia",67889
"Montgomery County, Virginia",5442
"Prince William County, Virginia",40673
"Roanoke County, Virginia",2895
"Rockingham County, Virginia",552
"Spotsylvania County, Virginia",3101
"Stafford County, Virginia",5862
"York County, Virginia",4245
"Alexandria city, Virginia",9726
"Chesapeake city, Virginia",7197
"Hampton city, Virginia",3506
"Lynchburg city, Virginia",795
"Newport News city, Virginia",4472
"Norfolk city, Virginia",9313
"Portsmouth city, Virginia",1626
"Richmond city, Virginia",4903
"Roanoke city, Virginia",3200
"Suffolk city, Virginia",1688
"Virginia Beach city, Virginia",30196
"Benton County, Washington",4742
"Chelan County, Washington",1004
"Clallam County, Washington",774
"Clark County, Washington",22913
"Cowlitz County, Washington",926
"Franklin County, Washington",1777
"Grant County, Washington",773
"Grays Harbor County, Washington",1304
"Island County, Washington",3901
"King County, Washington",361162
"Kitsap County, Washington",11318
"Lewis County, Washington",932
"Pierce County, Washington",52850
"Skagit County, Washington",2563
"Snohomish County, Washington",80706
"Spokane County, Washington",11616
"Thurston County, Washington",16030
"Whatcom County, Washington",9298
"Yakima County, Washington",2502
"Berkeley County, West Virginia",902
"Cabell County, West Virginia",1307
"Harrison County, West Virginia",N
"Kanawha County, West Virginia",2148
"Monongalia County, West Virginia",3845
"Raleigh County, West Virginia",590
"Wood County, West Virginia",N
"Brown County, Wisconsin",7972
"Dane County, Wisconsin",30922
"Dodge County, Wisconsin",107
"Eau Claire County, Wisconsin",4619
"Fond du Lac County, Wisconsin",1494
"Jefferson County, Wisconsin",270
"Kenosha County, Wisconsin",2482
"La Crosse County, Wisconsin",5207
"Manitowoc County, Wisconsin",2022
"Marathon County, Wisconsin",7976
"Milwaukee County, Wisconsin",40031
"Outagamie County, Wisconsin",6610
"Ozaukee County, Wisconsin",1709
"Portage County, Wisconsin",1476
"Racine County, Wisconsin",2903
"Rock County, Wisconsin",1734
"St. Croix County, Wisconsin",769
"Sheboygan County, Wisconsin",6384
"Walworth County, Wisconsin",1026
"Washington County, Wisconsin",2081
"Waukesha County, Wisconsin",13818
"Winnebago County, Wisconsin",4567
"Wood County, Wisconsin",1435
"Laramie County, Wyoming",1200
"Natrona County, Wyoming",435
